date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:04:53	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:55%20GMT	https://schoolable.wixsite.com/schoolgames/2a1582d7.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/2a1582d7.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:54	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:55%20GMT	https://schoolable.wixsite.com/schoolgames/eb321d93.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/eb321d93.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:54	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:55%20GMT	https://schoolable.wixsite.com/schoolgames/06cfef68.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/06cfef68.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:54	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:56%20GMT	https://schoolable.wixsite.com/schoolgames/49a18e23.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/49a18e23.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:54	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:56%20GMT	https://schoolable.wixsite.com/schoolgames/2467b183.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/2467b183.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:55	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:56%20GMT	https://schoolable.wixsite.com/schoolgames/f9fd7cbe.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/f9fd7cbe.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:55	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:56%20GMT	https://schoolable.wixsite.com/schoolgames/e142d0f4.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/e142d0f4.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:55	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:56%20GMT	https://schoolable.wixsite.com/schoolgames/96a73741.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/96a73741.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:55	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:57%20GMT	https://schoolable.wixsite.com/schoolgames/4c758e80.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/4c758e80.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:55	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:57%20GMT	https://schoolable.wixsite.com/schoolgames/44b62fdc.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/44b62fdc.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:56	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:57%20GMT	https://schoolable.wixsite.com/schoolgames/7f8c7c3e.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/7f8c7c3e.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:56	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:57%20GMT	https://schoolable.wixsite.com/schoolgames/fbbc0ea4.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/fbbc0ea4.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:56	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:58%20GMT	https://schoolable.wixsite.com/schoolgames/5d29307d.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/5d29307d.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:57	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:58%20GMT	https://schoolable.wixsite.com/schoolgames/85af43ab.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/85af43ab.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:57	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:58%20GMT	https://schoolable.wixsite.com/schoolgames/7010eb60.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/7010eb60.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:57	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:58%20GMT	https://schoolable.wixsite.com/schoolgames/566bec70.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/566bec70.min.css	(from https://schoolable.wixsite.com/schoolgames/)
